,sampling,evaluations,regression,shapiq_post_processing,total,game_id,id_explain,approximator,budget,n_players,id_config_approximator
0,0.0061800479888916016,0.3370037078857422,0.004228353500366211,3.933906555175781e-05,0.34745144844055176,california_housing_random_forest,2,PolySHAP-3ADD,176,8,37
0,0.0014150142669677734,0.42833900451660156,0.0038230419158935547,3.266334533691406e-05,0.4336097240447998,california_housing_random_forest,2,PolySHAP-3ADD,256,8,37
0,0.0006916522979736328,0.03318500518798828,0.003194570541381836,2.9087066650390625e-05,0.03710031509399414,california_housing_random_forest,2,PolySHAP-4ADD,9,8,37
0,0.0009307861328125,0.04337573051452637,0.0034117698669433594,3.0040740966796875e-05,0.04774832725524902,california_housing_random_forest,2,PolySHAP-4ADD,13,8,37
0,0.0011754035949707031,0.036423683166503906,0.0019621849060058594,2.5272369384765625e-05,0.039586544036865234,california_housing_random_forest,2,PolySHAP-4ADD,18,8,37
0,0.0010592937469482422,0.04481196403503418,0.0020020008087158203,2.5987625122070312e-05,0.04789924621582031,california_housing_random_forest,2,PolySHAP-4ADD,27,8,37
0,0.0014426708221435547,0.059221744537353516,0.0023005008697509766,2.8133392333984375e-05,0.06299304962158203,california_housing_random_forest,2,PolySHAP-4ADD,39,8,37
0,0.0020487308502197266,0.08974790573120117,0.003369569778442383,3.504753112792969e-05,0.09520125389099121,california_housing_random_forest,2,PolySHAP-4ADD,57,8,37
0,0.003560781478881836,0.21588706970214844,0.0075757503509521484,3.2901763916015625e-05,0.22705650329589844,california_housing_random_forest,2,PolySHAP-4ADD,83,8,37
0,0.005311727523803711,0.25235962867736816,0.0057239532470703125,3.314018249511719e-05,0.2634284496307373,california_housing_random_forest,2,PolySHAP-4ADD,121,8,37
0,0.0075986385345458984,0.336611270904541,0.007485866546630859,3.62396240234375e-05,0.3517320156097412,california_housing_random_forest,2,PolySHAP-4ADD,176,8,37
0,0.001470327377319336,0.4320487976074219,0.008435487747192383,3.552436828613281e-05,0.4419901371002197,california_housing_random_forest,2,PolySHAP-4ADD,256,8,37
